Time	Spine_Tx	Head_Pitch	Head_Pitch_Vel
0.050	0.0056	0.0738	1.4474
0.100	0.0108	0.1154	0.2323
0.150	0.0152	0.1098	-0.3339
0.200	0.0186	0.0879	-0.4976
0.250	0.0208	0.0621	-0.5386
0.300	0.0215	0.0338	-0.5965
0.350	0.0207	0.0012	-0.7150
0.400	0.0186	-0.0376	-0.8316
0.450	0.0151	-0.0805	-0.8537
0.500	0.0107	-0.1227	-0.8334
0.550	0.0054	-0.1624	-0.7410
0.600	-0.0001	-0.1951	-0.5713
0.650	-0.0057	-0.2184	-0.3673
0.700	-0.0109	-0.2319	-0.1758
0.750	-0.0153	-0.2361	0.0047
0.800	-0.0187	-0.2321	0.1465
0.850	-0.0208	-0.2222	0.2410
0.900	-0.0215	-0.2088	0.2884
0.950	-0.0207	-0.1942	0.2886
1.000	-0.0185	-0.1806	0.2503
1.050	-0.0150	-0.1696	0.1836
1.100	-0.0105	-0.1625	0.0963
1.150	-0.0053	-0.1601	0.0052
1.200	0.0003	-0.1618	-0.0680
1.250	0.0058	-0.1667	-0.1268
1.300	0.0110	-0.1743	-0.1698
1.350	0.0154	-0.1836	-0.2007
1.400	0.0188	-0.1936	-0.1940
1.450	0.0208	-0.2029	-0.1756
1.500	0.0215	-0.2110	-0.1455
1.550	0.0207	-0.2173	-0.1059
1.600	0.0184	-0.2214	-0.0594
1.650	0.0149	-0.2231	-0.0091
1.700	0.0104	-0.2223	0.0412
1.750	0.0052	-0.2190	0.0865
1.800	-0.0004	-0.2135	0.1299
1.850	-0.0060	-0.2061	0.1644
1.900	-0.0111	-0.1970	0.1944
1.950	-0.0155	-0.1866	0.2197
2.000	-0.0188	-0.1749	0.2421
2.050	-0.0209	-0.1622	0.2631
2.100	-0.0215	-0.1486	0.2768
2.150	-0.0206	-0.1345	0.2795
2.200	-0.0184	-0.1205	0.2708
2.250	-0.0148	-0.1073	0.2526
2.300	-0.0103	-0.0952	0.2228
2.350	-0.0050	-0.0849	0.1870
2.400	0.0006	-0.0764	0.1460
2.450	0.0061	-0.0702	0.1017
2.500	0.0112	-0.0661	0.0582
2.550	0.0156	-0.0642	0.0180
2.600	0.0189	-0.0642	-0.0162
2.650	0.0209	-0.0658	-0.0441
2.700	0.0215	-0.0687	-0.0690
2.750	0.0206	-0.0727	-0.0890
2.800	0.0183	-0.0775	-0.1027
2.850	0.0147	-0.0829	-0.1118
2.900	0.0102	-0.0886	-0.1151
2.950	0.0049	-0.0944	-0.1158
3.000	-0.0007	-0.1001	-0.1109
3.050	-0.0062	-0.1057	-0.1188
